COLLEGE NAME,DEPARTMENT,MARK,LOCATION,,PERCENTAGE
"HOLY CROSS INSTITUTE OF MANAGEMENT & TECH,EAST NADAKKAVU",B.CoM FINANCE,50,CALICUT,,62.00%
"IDEAL COLLEGE OF ARTS & SCIENCE,KUTTIYADI",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,49.00%
"IDEAL COLLEGE OF ARTS & SCIENCE,KUTTIYADI",BA MASS COMMUNICATION AND JOURNALISM,50,CALICUT,,69.00%
"IDEAL COLLEGE OF ARTS & SCIENCE,KUTTIYADI",BA ARABIC LANGUAGE & LITERATURE,50,CALICUT,,50.00%
"IDEAL COLLEGE OF ARTS & SCIENCE,KUTTIYADI",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,80.00%
"IDEAL COLLEGE OF ARTS & SCIENCE,KUTTIYADI",B.Sc GEOLOGY,50,CALICUT,,68.00%
"IDEAL COLLEGE OF ARTS & SCIENCE,KUTTIYADI",B.Com COMPUTER APPLICATION,50,CALICUT,,43.00%
"ILAHIYA ARTS & SCIENCE COLLEGE,KOYLANDY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,49.00%
"ILAHIYA ARTS & SCIENCE COLLEGE,KOYLANDY",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,74.00%
"ILAHIYA ARTS & SCIENCE COLLEGE,KOYLANDY",B.Sc PHYSICS,50,CALICUT,,60.00%
"ILAHIYA ARTS & SCIENCE COLLEGE,KOYLANDY",B.Com COMPUTER APPLICATION,50,CALICUT,,62.00%
"JALALIYA WOMEN'S ARABIC COLLEGE,KUTTIKKATUR",BA AFSAL-UL-ULAMA,50,CALICUT,,45.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,65.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,BA FUNCTIONAL ENGLISH,50,CALICUT,,69.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,BA TRAVEL & TOURISM MANAGEMENT,50,CALICUT,,54.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,42.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,44.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc FOOD TECHNOLOGY,50,CALICUT,,55.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc STATISTICS,50,CALICUT,,44.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc PSYCHOLOGY,50,CALICUT,,78.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc MATHEMATICS,50,CALICUT,,66.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc BIOTECHNOLOGY,50,CALICUT,,47.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc COMPUTER SCIENCE,50,CALICUT,,59.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.Sc HOTEL MANAGEMENT & CATERING SCIENCE,50,CALICUT,,55.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,BA MULTIMEDIA,50,CALICUT,,77.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.COM COOPERATION,50,CALICUT,,65.00%
JDT ISLAM COLLEGE OF ARTS & SCIENCE VELIMADUKUNNU,B.CoM FINANCE,50,CALICUT,,70.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,49.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,74.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,46.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",B.Sc PHYSICS,50,CALICUT,,73.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",B.Sc MATHEMATICS,50,CALICUT,,67.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",B.Sc CHEMISTRY,50,CALICUT,,80.00%
"K.M.O.ARTS & SCIENCE COLLEGE,KODUVALLY",B.Com COMPUTER APPLICATION,50,CALICUT,,52.00%
"KADATHANAD ARTS & SCIENCE COLLEGE,MANDARATHUR,VADAKARA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,70.00%
"KADATHANAD ARTS & SCIENCE COLLEGE,MANDARATHUR,VADAKARA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,64.00%
"KADATHANAD ARTS & SCIENCE COLLEGE,MANDARATHUR,VADAKARA",B.Sc FOOD TECHNOLOGY,50,CALICUT,,70.00%
"KADATHANAD ARTS & SCIENCE COLLEGE,MANDARATHUR,VADAKARA",B.Sc PSYCHOLOGY,50,CALICUT,,42.00%
"KADATHANAD ARTS & SCIENCE COLLEGE,MANDARATHUR,VADAKARA",B.Sc CHEMISTRY,50,CALICUT,,44.00%
"KADATHANAD ARTS & SCIENCE COLLEGE,MANDARATHUR,VADAKARA",B.CoM FINANCE,50,CALICUT,,42.00%
"KMCT ARTS & SCIENCE COLLEGE,MANASSERY",BA FUNCTIONAL ENGLISH,50,CALICUT,,77.00%
"KMCT ARTS & SCIENCE COLLEGE,MANASSERY",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,56.00%
"KMCT ARTS & SCIENCE COLLEGE,MANASSERY",B.Com COMPUTER APPLICATION,50,CALICUT,,45.00%
"KMCT ARTS & SCIENCE COLLEGE,MANASSERY",B.CoM FINANCE,50,CALICUT,,42.00%
"LITTLE FLOWERS INSTITUTE OF SOCIAL SCIENCE & HEALTH,KAITHAPOYIL",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,66.00%
"LITTLE FLOWERS INSTITUTE OF SOCIAL SCIENCE & HEALTH,KAITHAPOYIL",B.Sc PSYCHOLOGY,50,CALICUT,,57.00%
"LITTLE FLOWERS INSTITUTE OF SOCIAL SCIENCE & HEALTH,KAITHAPOYIL",B.Sc COMPUTER SCIENCE,50,CALICUT,,62.00%
"LITTLE FLOWERS INSTITUTE OF SOCIAL SCIENCE & HEALTH,KAITHAPOYIL",BACHELOR OF SOCIAL WORK,50,CALICUT,,68.00%
M.DASAN ARTS & SCIENCE COLLEGE ULLIYERI,BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,45.00%
M.DASAN ARTS & SCIENCE COLLEGE ULLIYERI,B.Sc PHYSICS,50,CALICUT,,45.00%
M.DASAN ARTS & SCIENCE COLLEGE ULLIYERI,B.CoM FINANCE,50,CALICUT,,54.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,74.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,52.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,62.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",BA ECONOMICS,50,CALICUT,,77.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",BA HISTORY,50,CALICUT,,77.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",B.Sc COSTUME & FASHION DESIGNING,50,CALICUT,,63.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",B.Sc PSYCHOLOGY,50,CALICUT,,75.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",B.Sc MATHEMATICS,50,CALICUT,,54.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",B.Sc COMPUTER SCIENCE,50,CALICUT,,46.00%
"M.E,S ARTS & SCIENCE COLLEGE,CHATHAMANGALAM",B.Com COMPUTER APPLICATION,50,CALICUT,,55.00%
M.E.S COLLEGE VADAKARA,BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,58.00%
M.E.S COLLEGE VADAKARA,BA FUNCTIONAL ENGLISH,50,CALICUT,,44.00%
M.E.S COLLEGE VADAKARA,BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,62.00%
M.E.S COLLEGE VADAKARA,BA ECONOMICS,50,CALICUT,,66.00%
M.E.S COLLEGE VADAKARA,B.Sc MATHEMATICS,50,CALICUT,,66.00%
M.E.S COLLEGE VADAKARA,B.Sc CHEMISTRY,50,CALICUT,,44.00%
M.E.S COLLEGE VADAKARA,B.Sc COMPUTER SCIENCE,50,CALICUT,,55.00%
M.E.S COLLEGE VADAKARA,BACHELOR OF SOCIAL WORK,50,CALICUT,,61.00%
M.E.S COLLEGE VADAKARA,B.Com COMPUTER APPLICATION,50,CALICUT,,62.00%
M.E.S COLLEGE VADAKARA,B.CoM FINANCE,50,CALICUT,,71.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,75.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,46.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,52.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",BA ECONOMICS,50,CALICUT,,47.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",B.Sc PHYSICS,50,CALICUT,,61.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",B.Sc MATHEMATICS,50,CALICUT,,44.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",B.SC MICROBIOLOGY,50,CALICUT,,56.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",B.Sc BOTANY,50,CALICUT,,59.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",B.Sc CHEMISTRY,50,CALICUT,,66.00%
"M.E.T COLLEGE OF ARTS & SCIENCE,NADAPURAM",B.Com COMPUTER APPLICATION,50,CALICUT,,41.00%
"MAHLARA ARTS & SCIENCE COLLEGE FOR WOMEN,MAVOOR",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,42.00%
"MAHLARA ARTS & SCIENCE COLLEGE FOR WOMEN,MAVOOR",BA ECONOMICS,50,CALICUT,,75.00%
"MAHLARA ARTS & SCIENCE COLLEGE FOR WOMEN,MAVOOR",B.Sc PHYSICS,50,CALICUT,,43.00%
"MAHLARA ARTS & SCIENCE COLLEGE FOR WOMEN,MAVOOR",B.CoM FINANCE,50,CALICUT,,52.00%
"MALABAR ARTS & SCIENCE FOR WOMEN,CHEKKIAD,NADAPURAM",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,75.00%
"MALABAR ARTS & SCIENCE FOR WOMEN,CHEKKIAD,NADAPURAM",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,44.00%
"MALABAR ARTS & SCIENCE FOR WOMEN,CHEKKIAD,NADAPURAM",B.Sc PSYCHOLOGY,50,CALICUT,,65.00%
"MALABAR ARTS & SCIENCE FOR WOMEN,CHEKKIAD,NADAPURAM",BACHELOR OF SOCIAL WORK,50,CALICUT,,43.00%
"MALABAR ARTS & SCIENCE FOR WOMEN,CHEKKIAD,NADAPURAM",B.Com COMPUTER APPLICATION,50,CALICUT,,75.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",BA FUNCTIONAL ENGLISH,50,CALICUT,,74.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,79.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",BA FUNCTIONAL ENGLISH,50,CALICUT,,72.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",BA ECONOMICS ,50,CALICUT,,72.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",BA HISTORY,50,CALICUT,,52.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",B.Sc ZOOLOGY,50,CALICUT,,66.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",B.Sc PHYSICS,50,CALICUT,,42.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",B.Sc MATHEMATICS,50,CALICUT,,75.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",B.Sc CHEMISTRY,50,CALICUT,,49.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",B.Com COMPUTER APPLICATION,50,CALICUT,,56.00%
"MALABAR CHRISTIAN COLLEGE,CALICUT",B.CoM FINANCE,50,CALICUT,,78.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,43.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",BA FUNCTIONAL ENGLISH,50,CALICUT,,71.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,60.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,76.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",B.Sc COMPUTER SCIENCE,50,CALICUT,,73.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",B.Com COMPUTER APPLICATION,50,CALICUT,,70.00%
"MALABAR COLLEGE OF ARTS & SCIENCE,MOODADI",B.CoM FINANCE,50,CALICUT,,62.00%
"MARKAZ COLLEGE OF ARTS & SCIENCE,KUNNAMANGALAM",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,77.00%
"MARKAZ COLLEGE OF ARTS & SCIENCE,KUNNAMANGALAM",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,70.00%
"MARKAZ COLLEGE OF ARTS & SCIENCE,KUNNAMANGALAM",B.Sc PSYCHOLOGY,50,CALICUT,,51.00%
"MARKAZ COLLEGE OF ARTS & SCIENCE,KUNNAMANGALAM",B.Sc CHEMISTRY,50,CALICUT,,72.00%
"MARKAZ COLLEGE OF ARTS & SCIENCE,KUNNAMANGALAM",B.Com COMPUTER APPLICATION,50,CALICUT,,71.00%
"MH COLLEGE OF ARTS & SCIENCE,KUTTIYADY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,52.00%
"MH COLLEGE OF ARTS & SCIENCE,KUTTIYADY",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,63.00%
"MH COLLEGE OF ARTS & SCIENCE,KUTTIYADY",B.Com COMPUTER APPLICATION,50,CALICUT,,47.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,76.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,57.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.Sc ZOOLOGY,50,CALICUT,,56.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.Sc PSYCHOLOGY,50,CALICUT,,71.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.Sc PHYSICS,50,CALICUT,,47.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.SC MICROBIOLOGY,50,CALICUT,,46.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.SC BIOCHEMISTRY,50,CALICUT,,58.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.Sc COMPUTER SCIENCE,50,CALICUT,,68.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.Com CO-OPERATION,50,CALICUT,,54.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.Com COMPUTER APPLICATION,50,CALICUT,,42.00%
"MHES COLLEGE OF SCIENCE & TECHNOLOGY,VADAKARA",B.CoM FINANCE,50,CALICUT,,52.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,60.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,72.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",BA ECONOMICS,50,CALICUT,,56.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",BA HISTORY,50,CALICUT,,61.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",B.SC POLYMER CHEMISTRY,50,CALICUT,,56.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",B.Sc PHYSICS,50,CALICUT,,76.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",B.Sc MATHEMATICS,50,CALICUT,,44.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",B.SC MICROBIOLOGY,50,CALICUT,,51.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",B.Sc COMPUTER SCIENCE,50,CALICUT,,50.00%
"MUHAMMED ABDUL RAHIMAN MEMORIAL ORPHANAGE COLLEGE,MUKKOM",B.Com COMPUTER APPLICATION,50,CALICUT,,45.00%
"MUSLIM ORPHANAGES COLLEGE OF ARTS & SCIENCE,PARAMBADAM,CHERUVATTA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,59.00%
"MUSLIM ORPHANAGES COLLEGE OF ARTS & SCIENCE,PARAMBADAM,CHERUVATTA",BA SOCIOLOGY,50,CALICUT,,46.00%
"MUSLIM ORPHANAGES COLLEGE OF ARTS & SCIENCE,PARAMBADAM,CHERUVATTA",B.Com COMPUTER APPLICATION,50,CALICUT,,76.00%
"MUSLIM ORPHANAGES COLLEGE OF ARTS & SCIENCE,PARAMBADAM,CHERUVATTA",B.CoM FINANCE,50,CALICUT,,72.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,61.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,75.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,75.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",BA ECONOMICS,50,CALICUT,,50.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",B.Sc PHYSICS,50,CALICUT,,70.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",B.SC BIOCHEMISTRY,50,CALICUT,,51.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",B.Com COMPUTER APPLICATION,50,CALICUT,,59.00%
"NATIONAL COLLEGE OF ARTS & SCIENCE,PULIYAVU,PARAKKADAVU",B.CoM FINANCE,50,CALICUT,,79.00%
P V S COLLEGE OF ARTS & SCIENCE PANTHEERANKAVU,BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,78.00%
P V S COLLEGE OF ARTS & SCIENCE PANTHEERANKAVU,B.Sc PHYSICS,50,CALICUT,,53.00%
P V S COLLEGE OF ARTS & SCIENCE PANTHEERANKAVU,B.Sc MATHEMATICS,50,CALICUT,,51.00%
P V S COLLEGE OF ARTS & SCIENCE PANTHEERANKAVU,B.Com COMPUTER APPLICATION,50,CALICUT,,46.00%
P V S COLLEGE OF ARTS & SCIENCE PANTHEERANKAVU,B.CoM FINANCE,50,CALICUT,,63.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,56.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,72.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,61.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",B.Sc PSYCHOLOGY,50,CALICUT,,51.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",B.Sc MATHEMATICS,50,CALICUT,,48.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",B.Sc COMPUTER SCIENCE,50,CALICUT,,61.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",B.Com COMPUTER APPLICATION,50,CALICUT,,80.00%
"PEEKAY CICS ARTS & SCIENCE COLLEGE,MATHARA",B.CoM FINANCE,50,CALICUT,,46.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,80.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",BA ECONOMICS,50,CALICUT,,64.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",BA HISTORY,50,CALICUT,,72.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",BA TRAVEL & TOURISM MANAGEMENT,50,CALICUT,,53.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,64.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc ZOOLOGY,50,CALICUT,,45.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc PSYCHOLOGY,50,CALICUT,,43.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc PHYSICS,50,CALICUT,,53.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc MATHEMATICS,50,CALICUT,,46.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc BOTANY,50,CALICUT,,73.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc CHEMISTRY,50,CALICUT,,66.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.Sc COMPUTER SCIENCE,50,CALICUT,,52.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",B.CoM FINANCE,50,CALICUT,,58.00%
"PROVIDENCE WOMEN’S COLLEGE,MALAPARAMBA",BA HRM,50,CALICUT,,61.00%
"R.SANKARA MEMORIAL SNDP YOGAM ARTS & SCIENCE COLLEGE,KOYILANDY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,74.00%
"R.SANKARA MEMORIAL SNDP YOGAM ARTS & SCIENCE COLLEGE,KOYILANDY",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,67.00%
"R.SANKARA MEMORIAL SNDP YOGAM ARTS & SCIENCE COLLEGE,KOYILANDY",B.Sc PHYSICS,50,CALICUT,,63.00%
"R.SANKARA MEMORIAL SNDP YOGAM ARTS & SCIENCE COLLEGE,KOYILANDY",B.Sc CHEMISTRY,50,CALICUT,,64.00%
"R.SANKARA MEMORIAL SNDP YOGAM ARTS & SCIENCE COLLEGE,KOYILANDY",B.Sc COMPUTER SCIENCE,50,CALICUT,,50.00%
"R.SANKARA MEMORIAL SNDP YOGAM ARTS & SCIENCE COLLEGE,KOYILANDY",B.CoM FINANCE,50,CALICUT,,58.00%
"RAHMANIYA ARABIC COLLEGE,KATAMERI",BA AFSAL-UL-ULAMA,50,CALICUT,,57.00%
"RAHMANIYA ARABIC COLLEGE,KATAMERI",BA AFSAL-UL-ULAMA,50,CALICUT,,73.00%
"ROUZATHUL ULOOM ARABIC COLLEGE,PO FAROOK COLLEGE",BA AFSAL-UL-ULAMA,50,CALICUT,,43.00%
"ROUZATHUL ULOOM ARABIC COLLEGE,PO FAROOK COLLEGE",BA FUNCTIONAL ENGLISH,50,CALICUT,,80.00%
"ROUZATHUL ULOOM ARABIC COLLEGE,PO FAROOK COLLEGE",B.Com WITH ISLAMIC FINANCE,50,CALICUT,,53.00%
"SI WOMENS COLLEGE OF ARTS AND SCIENCE,PARAKKADAVU",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,50.00%
"SI WOMENS COLLEGE OF ARTS AND SCIENCE,PARAKKADAVU",BA SOCIOLOGY,50,CALICUT,,70.00%
"SI WOMENS COLLEGE OF ARTS AND SCIENCE,PARAKKADAVU",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,68.00%
"SI WOMENS COLLEGE OF ARTS AND SCIENCE,PARAKKADAVU",B.Sc ZOOLOGY,50,CALICUT,,75.00%
"SI WOMENS COLLEGE OF ARTS AND SCIENCE,PARAKKADAVU",B.Com COMPUTER APPLICATION,50,CALICUT,,52.00%
"S.M.I ARTS & SCIENCE COLLEGE,KUNHIPPALLY",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,71.00%
"S.M.I ARTS & SCIENCE COLLEGE,KUNHIPPALLY",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,64.00%
"S.M.I ARTS & SCIENCE COLLEGE,KUNHIPPALLY",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,43.00%
"SALAFIYYA ARABIC COLLEGE COLLEGE,MEPPAYUR",BA AFSAL-UL-ULAMA,50,CALICUT,,65.00%
"SAQAFATHUL ISLAM ARABIC COLLEGE,PARAKKADAVU",BA AFSAL-UL-ULAMA,50,CALICUT,,75.00%
"SAVITHRI DEVI SABOO MEMORIAL WOMEN’S COLLEGE,VELLANUR",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,71.00%
"SAVITHRI DEVI SABOO MEMORIAL WOMEN’S COLLEGE,VELLANUR",BACHELOR OF BUSINESS ADMINISTRATION,50,CALICUT,,61.00%
"SAVITHRI DEVI SABOO MEMORIAL WOMEN’S COLLEGE,VELLANUR",B.SC FAMILY & COMMUNITY SCIENCE,50,CALICUT,,47.00%
"SAVITHRI DEVI SABOO MEMORIAL WOMEN’S COLLEGE,VELLANUR",B.Sc BOTANY,50,CALICUT,,64.00%
"SAVITHRI DEVI SABOO MEMORIAL WOMEN’S COLLEGE,VELLANUR",B.CoM FINANCE,50,CALICUT,,44.00%
"SILVER ARTS & SCIENCE COLLEGE,PERAMBRA",BA ENGLISH LANGUAGE & LITERATURE,50,CALICUT,,56.00%
"SILVER ARTS & SCIENCE COLLEGE,PERAMBRA",BACHELOR OF COMPUTER APPLICATION,50,CALICUT,,76.00%
"SILVER ARTS & SCIENCE COLLEGE,PERAMBRA",B.Sc FOOD TECHNOLOGY,50,CALICUT,,71.00%
"SILVER ARTS & SCIENCE COLLEGE,PERAMBRA",B.Sc PSYCHOLOGY,50,CALICUT,,58.00%
